id,movie_title,lead_actor1,lead_actor2,sub_actor1,sub_actor2
550,악녀의 시,청매,,,
551,안녕?! 오케스트라,리처드용재오닐,,,
552,열한시,정재영,최다니엘,김옥빈,
553,완전 소중한 사랑,심이영,임지규,,
554,왓니껴,심혜진,전노민,,
555,우리별 일호와 얼룩소,정유미,유아인,,
556,우아한 거짓말,김희애,고아성,김유정,김향기
557,원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,G-DRAGON,,,
558,은밀하게 위대하게,김수현,박기웅,이현우,손현주
559,"의궤, 8일간의 축제 3D",여진구,,,
560,이별계약,펑위옌,바이바이허,장경부,
561,이쁜 것들이 되어라,정겨운,정인기,윤승아,
562,조선미녀삼총사,하지원,강예원,가인,고창석
563,집으로 가는 길,,,,
564,찌라시 : 위험한 소문,김강우,정진영,고창석,박성웅
565,캐치 미,,,,
566,코알라,박영서,송유하,박진주,
567,타인의 멜로디,편보승,서지승,이유경,김진호
568,파파로티,한석규,이제훈,오달수,강소라
569,폴라로이드,정재연,김태용,양범,
570,플랜맨,정재영,한지민,,
571,피끓는 청춘,박보영,이종석,이세영,김영광
572,호두까기 인형,이은원,이동훈,,
573,가문의 영광5-가문의 귀환,정준호,김민정,유동근,성동일
574,가비,주진모,김소연,박희순,유선
575,간첩,김명민,염정아,유해진,변희봉
576,강철대오: 구국의 철가방,김인권,유다인,조정석,박철민
577,건축학개론,엄태웅,한가인,이제훈,수지
578,"광해, 왕이 된 남자",이병헌,류승룡,한효주,
579,남자사용설명서,이시영,오정세,박영규,
580,남쪽으로 튀어,김윤석,오연수,한예리,백승환
581,내 아내의 모든 것,임수정,이선균,류승룡,
582,네모난원,김정학,정욱,안미나,
583,늑대소년,송중기,박보영,,
584,다이노 타임,멜라니그리피스,제인린치,윌리암볼드윈,스티븐볼드윈
585,더 웹툰: 예고살인,이시영,엄기준,,
586,돈 크라이 마미,유선,남보라,유오성,동호
587,두개의 달,,,,
588,두레소리,김슬기,조아름,함현상,최은영
589,뒷담화:감독이 미쳤어요,윤여정,박희순,강혜정,오정세
590,마이 리틀 히어로,김래원,이성민,조안,이광수
591,미나문방구,최강희,봉태규,,
592,미쓰GO,고현정,유해진,성동일,이문식
593,바람과 함께 사라지다,차태현,오지호,민효린,성동일
594,박수건달,박신양,김정태,엄지원,정혜영
595,반달곰,강보민,박지성,최경준,
596,반창꼬,고수,한효주,,
597,범죄소년,이정현,서영주,,
598,복숭아나무,조승우,류덕환,남상미,
599,뷰티풀 차일드,이성수,,,
600,뽀로로 극장판 슈퍼썰매 대모험,이선,이미자,김환진,함수정
601,사랑을 말하다,서예희,윤혁진,최은채,김원희
602,서태지 8집:398일의 기록,서태지,심은경,,
603,시간의 숲,박용우,타카기리나,,
604,시체가 돌아왔다,이범수,류승범,김옥빈,
605,아부의 왕,송새벽,성동일,이병준,김성령
606,앙상블,김승수,이천희,김정화,서윤아
607,엘 꼰도르 빠사,강예원,가우사이밴드,,
608,연가시,김명민,문정희,김동완,이하늬
609,왕자가 된 소녀들,조금앵,김진진,박미숙,허숙자
610,용의자X,류승범,이요원,조진웅,
611,웨딩스캔들,김민준,곽지민,,
612,위대한 비행,,,,
613,유신의 추억 - 다카키 마사오의 전성시대,오성태,김상현,김정은,
614,음치클리닉,박하선,윤상현,,
615,인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,인피니트,,,
616,잉투기,엄태구,류혜영,권율,
617,자칼이 온다,송지효,김재중,오달수,
618,점쟁이들,김수로,강예원,이제훈,곽도원
619,징기스칸 : 지살령,박예진,여소군,이소염,나카이즈미히데오
620,차형사,강지환,성유리,이수혁,김영광
621,천국의 아이들,유다인,박지빈,김보라,이지웅
622,철가방 우수氏,최수종,,,
623,태아 3D,이규화,김서영,,
624,통통한 혁명,이소정,이현진,,
625,파이스토리 : 악당상어 소탕작전,드레이크벨,앤디딕,,
626,한경직,한경직,정애리,,
627,할매-시멘트정원,,,,
628,할머니는 일학년,김진구,신채연,,
629,황제펭귄 펭이와 솜이,송중기,,,
630,48미터,박효주,이진희,하석,조한철
631,5백만불의 사나이,박진영,조성하,민효린,
632,7번방의 선물,류승룡,박신혜,갈소원,오달수
633,가문의 영광 4 - 가문의 수난,김수미,신현준,탁재훈,임형준
634,가시,장혁,조보아,선우선,
635,겨울나비,박소연,정승원,,
636,겨울냄새,양성철,김준형,,
637,결정적 한방,유동근,윤진서,김정훈,오광록
638,고양이춤,박성연,이해성,,
639,고양이: 죽음을 보는 두 개의 눈,박민영,김동욱,김예론,
640,고지전,신하균,고수,이제훈,류승수
641,그 여자 그 남자의 속사정,정다혜,연제욱,서지석,이상일
642,꿍따리 유랑단,강원래,김지혜,최재식,오세준
643,나 나 나: 여배우 민낯 프로젝트,김꽃비,서영주,양은용,
644,나는 공무원이다,윤제문,송하윤,성준,김희정
645,나의선택 - 잊혀진 가방 그 못다한 이야기,권오중,이현우,이인응,이순환
646,나인뮤지스; 그녀들의 서바이벌,나인뮤지스,,,
647,너는 펫,김하늘,장근석,,
648,네버엔딩 스토리,엄태웅,정려원,,
649,다슬이,유해정,김송일,주부진,권오진
650,댄싱퀸,황정민,엄정화,,
651,더데이,안소요,,,
652,더 킥,조재현,예지원,나태주,태미
653,도다리 - 리덕스,태인호,김준영,김우석,윤가람
654,두 개의 선,지민,이철,,
655,러브픽션,하정우,공효진,,
656,로맨스 조,김영필,신동미,이채은,이다윗
657,로맨틱 헤븐,김수로,김동욱,김지원,이순재
658,리틀 제이콥,,,,
659,마당을 나온 암탉,문소리,유승호,최민식,박철민
660,마이 블랙 미니드레스,윤은혜,박한별,차예련,유인나
661,마이웨이,장동건,오다기리죠,판빙빙,
662,메이크 유어 무브,보아,데릭허프,미키이시카와,웨슬리조나단
663,모비딕,,,,
664,미국의 바람과 불,,,,
665,미운 오리 새끼,김준구,오달수,,
666,미확인 동영상 : 절대클릭금지,박보영,주원,강별,
667,바보야,김수환,안성기,,
668,백프로,윤시윤,여진구,천호진,이경영
669,법정 스님의 의자,최불암,법정,,
670,볼츠와 블립,김일,최정호,,
671,부러진 화살,안성기,박원상,나영희,김지호
672,비단꽃길,김금화,서갑숙,,
673,비스트 앵콜 콘서트 3D,비스트,,,
674,사랑이 무서워,임창정,김규리,,
675,"사랑한다, 사랑하지 않는다",임수정,현빈,,
676,세상에서 가장 아름다운 이별,배종옥,김갑수,김지영,유준상
677,소중한 날의 꿈,박신혜,송창의,오연서,서주애
678,수상한 고객들,류승범,,,
679,술에 대하여 - 극장판,오달수,올라이즈밴드,,
680,스물 아홉살,박재준,김영무,박규리,김아현
681,스타: 빛나는 사랑,환희,김수연,강요환,송재희
682,스파이 파파,이두일,김소현,민경진,이승연
683,써니,유호정,심은경,강소라,고수희
684,아프리카의 눈물,현빈,,,
685,애정만세,서주희,허준석,류혜영,김선빈
686,오래된 인력거,샬림,마노즈,,
687,오싹한 연애,손예진,이민기,,
688,오직 그대만,소지섭,한효주,,
689,오하이오 삿포로,김소이,태인호,,
690,완득이,김윤석,유아인,,
691,우쿨렐레 사랑모임,김기인,오경호,이국표,조미화
692,원더풀 라디오,이민정,이정진,,
693,인류멸망보고서,류승범,송새벽,김강우,송영창
694,적과의 동침,김구라,유정현,,
695,점박이 : 한반도의 공룡3D,이형석,신용우,구자형,
696,챔프,차태현,유오성,박하선,김수정
697,천사의 숨소리,김영선,한지원,,
698,체포왕,박중훈,이선균,,
699,촌철살인,박근록,박주환,이종필,한예리
700,최종병기 활,박해일,류승룡,김무열,문채원
701,최후의 툰드라 - 극장판,고현정,,,
702,커플즈,김주혁,이시영,이윤지,오정세
703,코알라 키드 : 영웅의 탄생,태민,써니,윤다훈,정은별
704,태어나서 미안해,임준식,임채선,김상호,
705,통증,권상우,정려원,마동석,
706,투 올드 힙합 키드,정대건,허클베리피,장지훈,지조
707,트루맛쇼,박나림,,,
708,특수본,엄태웅,주원,정진영,성동일
709,티끌모아 로맨스,한예슬,송중기,,
710,퍼펙트 게임,조승우,양동근,최정원,
711,페이스 메이커,김명민,안성기,고아라,최태준
712,푸른소금,송강호,신세경,,
713,하얀 정글,박진석,서경자,이선웅,오승훈
714,하울링,송강호,이나영,,
715,홍길동 2084,동호,김서영,정재헌,엄상현
716,화이트: 저주의 멜로디,함은정,황우슬혜,메이다니,최아라
717,화차,이선균,김민희,조성하,
718,환상극장,이현우,김디에나,김태훈,추자현
719,회초리,안내상,진지희,,
720,훈장과 악동들,김봉곤,,,
721,흉터,김학선,허지원,,
722,577 프로젝트,공효진,하정우,,
723,7광구,하지원,안성기,오지호,박철민
724,Jam Docu 강정,,,,
725,Mr. 아이돌,박예진,지현우,김수로,
726,고래를 찾는 자전거,이문식,박지빈,이슬기,
727,고스트: 보이지 않는 사랑,마츠시마나나코,송승헌,,
728,그랑프리,김태희,양동근,,
729,글러브,정재영,유선,강신일,조진웅
730,기이한 춤: 기무,,,,
731,기타가 웃는다,박혁권,이용이,김종수,최성원
732,김종욱 찾기,임수정,공유,,
733,꿈은 이루어진다,이성재,최지현,,
734,꿈의 공장,김경봉,방종운,소히,시와
735,나의 불행에는 이유가 있다,배제기,정재식,주예린,김록경
736,내 깡패 같은 애인,박중훈,정유미,,
737,내 남자의 순이,박해미,신이,이태성,
738,달빛 길어올리기,박중훈,강수연,예지원,안병경
739,당신은 아름답다,김수향,,,
740,도약선생,박혁권,박희본,나수윤,이우정
741,라스트 갓파더,심형래,하비케이틀,마이클리스폴리,제이슨미웨스
742,라이브 인 3D 휘성 : 잇츠 리얼,휘성,,,
743,량강도 아이들,김환영,주혜리,신민규,이충훈
744,려수,정의철,고준희,,
745,마마 앤드 파파,김진아,박정은,유하은,노시정
746,만추,김홍교,,,
747,맛있는 인생,유다인,윤정희,임채무,혜리
748,맨발의 꿈,박희순,고창석,,
749,무산일기,박정범,진용욱,강은진,
750,무적자,주진모,송승헌,김강우,조한선
751,뭘 또 그렇게까지,이동규,주민하,조용준,
752,미스터 좀비,원풍연,배누리,,
753,반가운 살인자,유오성,김동욱,심은경,
754,방가? 방가!,김인권,김정태,신현빈,방대한
755,베스트셀러,엄정화,,,
756,분홍돌고래,한태일,오수현,임호영,문성복
757,불량남녀,임창정,엄지원,,
758,불청객,이시형,,,
759,브라보! 재즈 라이프,강대관,이판근,조상국,류복성
760,뽕똘,김민혁,이경준,양정원,조은
761,서유기 리턴즈,김병만,류담,한민관,민아령
762,소명 2 - 모겐족의 월드컵,강성민,모겐족아이들,YOK,장미연
763,소와 함께 여행하는 법,김영필,공효진,먹보,
764,슈퍼쇼3 3D,슈퍼주니어,이특,려욱,규현
765,시선 너머,,,,
766,심장이 뛴다,조동혁,전혜빈,장동혁,최우식
767,아름다운 유산,연재,김민수,동하,전무송
768,아마존의 눈물,김남길,,,
769,어쿠스틱,신세경,임슬옹,이종현,강민혁
770,엄지 아빠,방동원,진다은,이설구,조형래
771,여덟 번의 감정,김영호,황인영,윤주희,
772,"열여덟,열아홉",유연석,백진희,엄현경,이영진
773,오월愛,,,,
774,요술,임지규,서현진,김정욱,
775,용서,강병훈,양수아,,
776,우리 만난 적 있나요,박재정,윤소이,,
777,우리 이웃의 범죄,신현준,왕희지,전노민,이기우
778,웨딩 드레스,송윤아,김향기,,
779,육혈포 강도단,나문희,김수미,김혜옥,
780,은어,이지혁,홍예나,김추련,하나경
781,이층의 악당,한석규,김혜수,,
782,이파네마 소년,이수혁,김민지,,
783,인플루언스,이병헌,한채영,조재현,전노민
784,저스트 프렌즈,오연서,이영훈,,
785,조선명탐정: 각시투구꽃의 비밀,김명민,오달수,한지민,
786,종로의 기적,소준문,장병권,최영수,정욜
787,주문진,황보라,김기범,,
788,지구대표 롤링 스타즈,류덕환,류승룡,심은경,이병준
789,집 나온 남자들,지진희,양익준,이문식,
790,첫사랑 열전,이청아,김성곤,류현경,김동곤
791,청춘 그루브,봉태규,이영훈,곽지민,
792,초능력자,,,,
793,친정엄마,김해숙,박진희,,
794,퀴즈왕,김수로,한재석,송영창,류승룡
795,파수꾼,이시영,김영광,김슬기,Key
796,평범한 날들,송새벽,한예리,이주승,
797,평양성,정진영,이문식,류승룡,윤제문
798,폐가,신경선,윤이나,전인걸,현태호
799,포화 속으로,차승원,권상우,T.O.P,김승우
800,하쿠나 마타타 - 지라니 이야기,임태종,김재창,케냐지라니어린이합창단,한국-케냐지라니스탭
801,해결사,설경구,이정진,오달수,
802,행복한 울릉인,이상호,남지현,,
803,헬로우 고스트,차태현,강예원,이문수,고창석
804,"혜화,동",유다인,유연석,,
805,희망의 별 - 이퀘지레템바,유지태,임흥세,,
806,2AM SHOW,2AM,조권,이창민,임슬옹
807,"60년전, 사선에서",,,,
808,거북이 달린다,김윤석,정경호,견미리,선우선
809,걸프렌즈,강혜정,한채영,허이재,배수빈
810,결혼식 후에,신성우,예지원,배수빈,김보경
811,경계도시 2,송두율,정정희,,
812,계몽영화,정승길,김지인,오연아,이상현
813,구르믈 버서난 달처럼,황정민,차승원,한지혜,백성현
814,구세주 2,최성국,이영은,,
815,굿모닝 프레지던트,이순재,장동건,고두심,임하룡
816,"굿바이, 평양",양선화,양건화,양영희,양공선
817,그리움의 종착역,우자슈트라우스킴,루트비히슈트라우스킴,영숙타이스,아르민타이스
818,그림자 살인,황정민,류덕환,엄지원,오달수
819,기죽지 마라,김진,임윤택,김형진,
820,꼭 껴안고 눈물 핑,이켠,고준희,신동미,
821,나는 갈매기,이대호,강민호,조성환,홍성흔
822,나를 닮은 얼굴,노명자,브렌트,,
823,낙원-파라다이스,지진희,김하늘,,
824,내 눈에 콩깍지,이지아,강지환,,
825,내 사랑 내 곁에,이소연,이재윤,온주완,김미숙
826,너와 나의 21세기,한수연,이환,신현호,최소은
827,도쿄 택시,야마다마사시,야마자키하지메,유하나,
828,돌멩이의 꿈,차인표,김효진,,
829,동자 대소동,정종철,박준형,,
830,땅의 여자,소희주,강선희,변은주,
831,레인보우,,,,
832,로니를 찾아서,유준상,로빈쉬엑,,
833,로망은 없다,박지윤,전진아,정형준,임옥균
834,물 없는 바다,김동현,유호린,,
835,물 좀 주소,이두일,류현경,,
836,"바다 쪽으로, 한 뼘 더",한예리,박지영,김영재,홍종현
837,불꽃처럼 나비처럼,조승우,수애,천호진,최재웅
838,불신지옥,남상미,류승룡,김보연,심은경
839,서서 자는 나무,송창의,서지혜,여현수,
840,소규모 아카시아 밴드 이야기,소규모아카시아밴드,송은지,김민홍,요조
841,소피의 연애 매뉴얼,장쯔이,소지섭,판빙빙,하윤동
842,슬픔보다 더 슬픈 이야기,권상우,이보영,이범수,정애연
843,시간의 춤,이하나,장현성,,
844,시티 오브 크레인,이마붑,유예진,냠샴부검보수랭,
845,싸이보그 그녀,아야세하루카,코이데케이스케,,
846,아부지,전무송,박철민,박탐희,조문국
847,아빠가 여자를 좋아해,이나영,김지석,김희수,
848,애자,최강희,김영애,,
849,약수터 부르스,배건식,김태인,,
850,"양 한 마리, 양 두 마리",성수정,이혜진,,
851,어이그 저 귓것,오영순,문석범,양정원,이경준
852,여고괴담 5,오연서,장경아,손은서,송민정
853,올웨이스 비보이,오세빈,맥시멈크루,미키루크,원채영
854,우리 집에 왜 왔니,박희순,강혜정,,
855,워낭소리,최원균,이삼순,최노인의소,
856,의형제,송강호,강동원,,
857,이웃집 좀비,홍서백,류훈,김여진,배용근
858,이태원 살인사건,정진영,장근석,신승환,오광록
859,인사동 스캔들,김래원,엄정화,,
860,정승필 실종사건,이범수,김규리,,
861,좋아서 만든 영화,조준호,황수정,손현,안복진
862,주유소 습격사건 2,지현우,조한선,문원주,정재훈
863,죽기 전에 해야할 몇가지 것들,남궁,,,
864,지구에서 사는 법,박병은,조시내,박선우,장소연
865,천국의 우편배달부,김재중,한효주,,
866,청담보살,박예진,임창정,,
867,춤추는 동물원,한희정,몬구,,
868,카페 서울,김정훈,사이토타쿠미,,
869,쿠바의 연인,오리엘비스,정호현,,
870,킹콩을 들다,이범수,조안,,
871,토끼와 리저드,장혁,성유리,,
872,트라이앵글,이범수,김재중,임시완,오연수
873,페어 러브,안성기,이하나,,
874,평행이론,,,,
875,핑크 토끼,고다미,권철,,
876,하늘과 바다,장나라,현쥬니,유아인,
877,하얀 나비,태인호,최묘견,,
878,헬로우 마이 러브,조안,오민석,류상욱,
879,호우시절,정우성,고원원,,
880,황금시대,구교환,이민웅,김은주,김예은
881,회복,박지윤,,,
882,회오리 바람,서준영,이민지,,
883,10억,박해일,박희순,신민아,이민기
884,4교시 추리영역,유승호,강소라,,
885,가벼운 잠,이아진,김대윤,임형국,홍아름
886,가필드 - 마법의 샘물,프랭크웰커,그렉버거,그렉이글스,오드리워실스키
887,감자 심포니,전용택,유오성,이규회,이서연
888,강철중: 공공의 적 1-1,설경구,정재영,,
889,걸스카우트,김선아,나문희,이경실,고준희
890,고고70,조승우,신민아,차승우,이성민
891,과속스캔들,차태현,박보영,왕석현,
892,그 남자의 책 198쪽,이동욱,유진,,
893,김씨 표류기,정재영,정려원,,
894,나무없는 산,김희연,김성희,,
895,나의 마음은 지지 않았다,송신도,문소리,,
896,날나리 종부전,박정아,박진우,,
897,날아라 펭귄,문소리,박원상,손병호,최규환
898,낮술,송재하,,,
899,님은 먼곳에,수애,정진영,정경호,주진모
900,달려라 자전거,한효주,이영훈,,
901,당신이 잠든 사이에,예지원,탁재훈,,
902,두 개의 눈을 가진 아일랜드,바드,김현보,박혜리,김정환
903,라라 선샤인,양은용,이윤건,안지혜,정인기
904,로맨틱 아일랜드,이선균,이수경,이민기,유진
905,멋진하루,,,,
906,모던 보이,박해일,김혜수,김남길,
907,무림여대생,신민아,온주완,유건,
908,미안하다 독도야,김장훈,,,
909,북극의 눈물,안성기,,,
910,불타는 내 마음,김미희,최요한,,
911,"빗자루, 금붕어 되다",유순웅,김재록,최유진,
912,서양골동양과자점 앤티크,주지훈,김재욱,유아인,최지호
913,쉿! 그녀에겐 비밀이에요,김규리,리키김,,
914,시선 1318,박보영,손은서,남지현,정지안
915,신기전,정재영,한은정,허준호,
916,안녕? 허대짜수짜님!,엄경환,윤혁중,,
917,압록강은 흐른다,우벽송,최성호,김여진,정운택
918,약탈자들,김태훈,박병은,염지윤,이희준
919,어떤 개인 날,김도영,지정남,권예림,이찬영
920,오이시맨,이민기,이케와키치즈루,정유미,
921,"용서, 그 먼 길 끝에 당신이 있습니까",김혜수,,,
922,우린 액션배우다,권귀덕,곽진석,성일,전세진
923,울학교 이티,김수로,이한위,백성현,박보영
924,유감스러운 도시,정준호,정웅인,정운택,박상민
925,인디애니박스: 셀마의 단백질 커피,,,,
926,장례식의 멤버,이주승,유하복,박명신,송하윤
927,제불찰씨 이야기,엄상현,조현정,정재헌,이장원
928,"좋은 놈, 나쁜 놈, 이상한 놈",송강호,이병헌,정우성,
929,차우,엄태웅,정유미,장항선,윤제문
930,초감각 커플,진구,박보영,,
931,푸른 강은 흘러라,한예리,남철,임선애,
932,하늘을 걷는 소년,허이재,강산,,
933,흑심모녀,심혜진,김수미,이상우,이다희
934,"히말라야, 바람이 머무는 곳",최민식,,,
935,1724 기방난동사건,이정재,김석훈,김옥빈,
936,3xFTM,고종우,김명진,한무지,
937,7급 공무원,김하늘,강지환,,
938,검은 땅의 소녀와,유연미,박현우,조영진,
939,경축! 우리 사랑,김해숙,기주봉,방은희,김영민
940,과거는 낯선 나라다,김응수,전호식,,
941,권순분 여사 납치사건,나문희,강성진,유해진,유건
942,그녀는 예뻤다,황정음,박서준,고준희,시원
943,극락도 살인사건,박해일,박솔미,성지루,
944,기다리다 미쳐,손태영,장근석,장희진,데니안
945,꽃미남 연쇄 테러사건,성민,한경,예성,김기범
946,나의 스캔들,서린,이인,강신철,
947,날아라 허동구,정진영,최우혁,,
948,내 생애 최악의 남자,염정아,탁재훈,윤지민,신성록
949,"대한이, 민국씨",최성국,공형진,최정원,
950,댄스 오브 드래곤,장혁,범문방,제이슨스콧리,
951,동갑내기 과외하기 레슨 2,이청아,박기웅,,
952,두 얼굴의 여친,봉태규,정려원,,
953,뜨거운 것이 좋아,이미숙,김민희,안소희,
954,라듸오 데이즈,류승범,이종혁,김사랑,김뢰하
955,마을금고 연쇄습격사건,백윤식,이문식,박효준,김유정
956,마이 뉴 파트너,안성기,조한선,,
957,마지막 선물,,,,
958,마파도 2,이문식,김지영,여운계,김을동
959,만남의 광장,임창정,박진희,,
960,못말리는 결혼,김수미,임채무,유진,하석진
961,무방비 도시,김명민,손예진,김해숙,
962,므이,조안,차예련,,
963,바르게 살자,정재영,손병호,,
964,방울토마토,,,,
965,별별 이야기 2 - 여섯 빛깔 무지개,홍윤희,최도영,홍진욱,전숙경
966,별빛 속으로,정경호,김규리,차수연,김C
967,복면 달호,차태현,임채무,이소연,
968,빼꼼의 머그잔 여행,김태균,,,
969,사랑방 선수와 어머니,정준호,김원희,고은아,임형준
970,소리 아이,박수범,박성열,,
971,수용소의 삶 : 디지털삼인삼색2007,알프레도멘데스,델핀헤켓,프랑소아리비에르,
972,슈퍼맨이었던 사나이,황정민,전지현,,
973,스페어,정우,임준일,코가미츠키,김수현
974,아스라이,김상석,심재원,서보익,강찬양
975,야스쿠니,카리야나오하루,준이치로코이즈미,,
976,어린 왕자,탁재훈,강수한,조안,
977,어머니는 죽지 않는다,한혜숙,하명중,하상원,
978,여기보다 어딘가에,차수연,유하준,방준석,
979,"여름, 속삭임",이영은,하석진,,
980,열한번째 엄마,김혜수,김영찬,,
981,용의주도 미스 신,한예슬,,,
982,우리 생애 최고의 순간,문소리,김정은,엄태웅,김지영
983,웨스트 32번가,존조,김준성,그레이스박,
984,은하해방전선,임지규,박혁권,서영주,
985,이장과 군수,윤다훈,이수근,보라,장동혁
986,잘못된 만남,정웅인,성지루,,
987,저 하늘에도 슬픔이,김유나,,,
988,좋지 아니한가,천호진,문희경,김혜수,유아인
989,죽어도 해피 엔딩,예지원,임원희,,
990,즐거운 인생,정진영,김윤석,김상호,장근석
991,"지금, 이대로가 좋아요",공효진,신민아,,
992,집결호,장한위,,,
993,챔피언 마빡이,정종철,박준형,,
994,처음 만난 사람들,박인수,최희진,꽝스,방영
995,천년여우 여우비,손예진,공형진,류덕환,
996,천년학,조재현,오정해,,
997,최강 로맨스,이동욱,현영,,
998,파란 자전거,양진우,김정화,오광록,
999,판타스틱 자살 소동,한여름,김남진,이혜상,정재진
1000,펀치 레이디,도지원,손현주,박상욱,최진리
1001,할매꽃,나경순,문정현,,
1002,해부학 교실,한지민,오태경,온주완,
1003,허밍,,,,
1004,허스,김혜나,수지박,윌윤리,칼윤
1005,헨젤과 그레텔,천정명,은원재,심은경,진지희
1006,화려한 휴가,김상경,안성기,이요원,이준기
1007,황진이,장성원,신유주,,
1008,1번가의 기적,임창정,하지원,,
1009,6년째 연애중,김하늘,윤계상,,
1010,가문의 부활 - 가문의 영광 3,신현준,탁재훈,김원희,김수미
1011,가을로,유지태,김지수,엄지원,
1012,가족의 탄생,,,,
1013,강을 건너는 사람들,김경석,송부자,세키타히로오,다카키쿠미코
1014,거룩한 계보,정재영,정준호,류승룡,민지환
1015,경의선,김강우,손태영,,
1016,공필두,이문식,,,
1017,구미호 가족,주현,박준규,하정우,박시연
1018,국경의 남쪽,차승원,조이진,심혜진,
1019,그놈 목소리,설경구,김남주,,
1020,김관장 대 김관장 대 김관장,신현준,최성국,권오중,
1021,나비두더지,판영진,박진국,허정인,최정단
1022,너를 잊지 않을 거야,이태성,오나가마키,,
1023,누가 그녀와 잤을까?,김사랑,박준규,이혁재,하하
1024,눈부신 날에,박신양,서신애,,
1025,도레미파솔라시도,장근석,차예련,정의철,
1026,도마뱀,,,,
1027,동백 아가씨,,,,
1028,마강호텔,김석훈,김성은,,
1029,마이 캡틴 김대출,정재영,장서희,,
1030,맨발의 기봉이,신현준,김수미,임하룡,탁재훈
1031,모노폴리,양동근,김성수,윤지민,
1032,무도리,박인환,최주봉,서희승,서영희
1033,묵공,유덕화,안성기,,
1034,방황의 날들,김지선,강태구,,
1035,백만장자의 첫사랑,현빈,이연희,,
1036,사랑따윈 필요없어,김주혁,문근영,,
1037,사랑을 놓치다,설경구,송윤아,,
1038,사랑할 때 이야기하는 것들,한석규,김지수,,
1039,살기 위하여,이순덕,류기화,홍성준,김하수
1040,삼거리 극장,김꽃비,천호진,,
1041,세번째 시선,차이얀콜삭,황선화,김요한,김태우
1042,소년은 울지 않는다,이완,송창의,,
1043,쇼킹 패밀리,경순,경은,수림,빈센트
1044,싸이보그지만 괜찮아,비,임수정,,
1045,아이스케키,박지빈,신애라,,
1046,아주 특별한 손님,한효주,김영민,,
1047,애정결핍이 두 남자에게 미치는 영향,백윤식,봉태규,이혜영,
1048,어느날 그 길에서,최태영,최천권,최동기,
1049,언니가 간다,고소영,이범수,유건,조안
1050,여름이 가기 전에,이현우,김보경,,
1051,열혈남아,설경구,조한선,나문희,
1052,오래된 정원,염정아,지진희,,
1053,우리들의 행복한 시간,강동원,이나영,,
1054,우리에게 내일은 없다,유아인,김병석,,
1055,우아한 세계,송강호,,,
1056,원탁의 천사,이민우,하하,임하룡,김상중
1057,잔혹한 출근,김수로,,,
1058,잘 살아보세,최수종,이상민,김종민,김일중
1059,전설의 고향,변우민,지대한,강세정,
1060,조용한 세상,김상경,박용우,한보배,
1061,조폭 마누라 3,서기,이범수,,
1062,중천,정우성,김태희,,
1063,착신아리 파이널,호리키타마키,쿠로키메이사,장근석,
1064,창공으로,정준,김보경,김정학,
1065,천상고원,이용희,김응수,,
1066,천하장사 마돈나,류덕환,,,
1067,청춘만화,권상우,김하늘,,
1068,투사부일체,정준호,김상중,정웅인,정운택
1069,포도나무를 베어라,서장원,기주봉,이민정,
1070,플라이 대디,이문식,이준기,,
1071,해바라기,하이안,,,
1072,해변의 여인,김승우,고현정,송선미,김태우
1073,허브,강혜정,배종옥,정경호,
1074,호로비츠를 위하여,엄정화,신의재,박용우,
1075,호박전,김서영,정미숙,장광,
1076,흡혈형사 나도열,김수로,,,
1077,Mr. 로빈 꼬시기,엄정화,다니엘헤니,,
1078,가발,채민서,유선,방중현,
1079,간 큰 가족,감우성,김수로,신구,김수미
1080,강력3반,김민준,허준호,,
1081,개와 늑대 사이의 시간,안길강,김선재,,
1082,거칠마루,권민기,김진명,성홍일,오미정
1083,공공의 적 2,설경구,정준호,,
1084,광식이 동생 광태,김주혁,봉태규,이요원,김아중
1085,나의 결혼 원정기,김국진,김원준,김승수,박광현
1086,내 생애 가장 아름다운 일주일,주현,오미희,천호진,진태현
1087,눈부신 하루,정재훈,,,
1088,다섯은 너무 많아,최시형,조시내,김도균,최가현
1089,레드 아이,박혜진,,,
1090,말아톤,조승우,김미숙,,
1091,무영검,이서진,윤소이,이기용,신현준
1092,미스터 주부퀴즈왕,한석규,신은경,공형진,
1093,바리바리 짱,신윤섭,김시명,강지수,
1094,박수칠 때 떠나라,차승원,신하균,,
1095,방과후 옥상,봉태규,진태현,정윤조,하석진
1096,방문자,,,,
1097,분홍신,김혜수,김성수,,
1098,브레인웨이브,김도윤,장세윤,,
1099,비단구두,민정기,최덕문,이성민,김다혜
1100,"사랑해, 말순씨",문소리,이재응,윤진서,
1101,상어,김남길,손예진,하석진,이하늬
1102,새드 무비,정우성,임수정,차태현,손태영
1103,"소년, 천국에 가다",염정아,박해일,,
1104,썬데이 서울,봉태규,이청아,고은아,박성빈
1105,"온 더 로드, 투",윤도현,박태희,김진원,허준
1106,왕후 심청,강희선,,,
1107,용서받지 못한 자,하정우,서장원,,
1108,웰컴 투 동막골,정재영,신하균,강혜정,
1109,작업의 정석,손예진,송일국,,
1110,종려나무 숲,김민종,김유미,,
1111,천군,박중훈,김승우,황정민,공효진
1112,청연,장진영,김주혁,,
1113,첼로 - 홍미주 일가 살인사건,성현아,,,
