id,movie_title,lead_actor1,lead_actor2,sub_actor1,sub_actor2
124,신의 한 수: 귀수편,권상우,김희원,김성균,
125,아르코 라이브 완창판소리프로젝트2 강산제수궁가,,,,
126,아르코라이브 무용 히트 앤 런,,,,
127,아르코라이브 뮤지컬 안테모사,,,,
128,아이즈 온 미 : 더 무비,권은비,미야와키사쿠라,강혜원,최예나
129,"안녕, 티라노: 영원히, 함께",시영준,정혜원,이세은,
130,양자물리학,박해수,서예지,김상호,김응수
131,어린 의뢰인,이동휘,유선,최명빈,이주원
132,얼굴없는 보스 : 못다한 이야기 감독판,천정명,진이한,이시아,이하율
133,엑시트,조정석,윤아,,
134,엔딩스 비기닝스,쉐일린우들리,제이미도넌,세바스찬스탠,
135,열혈형사,김인권,얀츠카,,
136,오케이 마담,엄정화,박성웅,이상윤,배정남
137,왓칭,강예원,이학주,,
138,유열의 음악앨범,김고은,정해인,,
139,이상한 게임,,,,
140,자산어보,설경구,변요한,,
141,장사리 : 잊혀진 영웅들,김명민,최민호,김성철,김인권
142,저 산 너머,이경훈,이항나,안내상,강신일
143,정의심판,조성현,,,
144,정직한 후보,라미란,김무열,나문희,윤경호
145,죽지않는 인간들의 밤,이정현,김성오,서영희,양동근
146,천문: 하늘에 묻는다,최민식,한석규,,
147,침입자,송지효,김무열,,
148,캐논볼,,,,
149,캐리tv 러브콘서트 더 무비,이성인,소경호,현채민,스텔라
150,콩쥐별전 - 전주성의 비밀,,,,
151,퍼펙트맨,설경구,조진웅,,
152,프랑스여자,김호정,김지영,김영민,류아벨
153,피원에이치 : 새로운 세계의 시작,기호,테오,지웅,인탁
154,핑크퐁 시네마 콘서트 : 우주대탐험,조경이,김서영,,
155,해치지않아,안재홍,강소라,박영규,김성오
156,히트맨,권상우,정준호,황우슬혜,이이경
157,"힘을 내요, 미스터 리",차승원,엄채영,박해준,
158,#살아있다,유아인,박신혜,,
159,82년생 김지영,정유미,공유,,
160,걸캅스,라미란,이성경,,
161,국가부도의 날,김혜수,유아인,허준호,조우진
162,극장판 공룡메카드: 타이니소어의 섬,김서영,엄상현,안현서,김장
163,극장판 뽀잉: 슈퍼 변신의 비밀,전태열,엄상현,홍소영,정영웅
164,극장판 헬로카봇 : 백악기 시대,이지현,김용준,양정화,
165,극장판 헬로카봇:옴파로스 섬의 비밀,이지현,김용준,,
166,기묘한 가족,정재영,김남길,엄지원,이수경
167,나의 특별한 형제,신하균,이광수,이솜,
168,내안의 그놈,진영,박성웅,라미란,
169,너의 여자친구,이엘리야,지일주,,
170,"다시, 봄",이청아,홍종현,,
171,당신의 부탁,임수정,윤찬영,,
172,데자뷰,이천희,남규리,이규한,
173,도어락,공효진,김예원,김성오,
174,독고다이,송민경,이윤우,주원탁,
175,동네사람들,마동석,김새론,,
176,러브 유어셀프 인 서울,RM,진,슈가,제이홉
177,런닝맨 : 풀룰루의 역습,김서영,권창욱,엄상현,김연우
178,레슬러,유해진,김민재,이성경,
179,리벤져,브루스칸,박희순,윤진서,김인권
180,리틀 포레스트,김태리,류준열,문소리,진기주
181,말모이,유해진,윤계상,,
182,명당,조승우,지성,김성균,문채원
183,무문관,,,,
184,뮤직 앤 리얼리티,빅포니,임화영,,
185,미니특공대X,엄상현,전태열,이소영,신용우
186,미스터 주: 사라진 VIP,이성민,김서형,배정남,신하균
187,미친도시,이경영,한태일,김미영,
188,배반의 장미,김인권,정상훈,손담비,김성철
189,번 더 스테이지: 더 무비,RM,진,슈가,제이홉
190,번개맨의 비밀,서홍석,유수호,최오식,이상철
191,비밥바룰라,박인환,신구,임현식,윤덕용
192,뺑반,공효진,류준열,조정석,
193,사랑의 선물,문영동,김소민,김려원,
